,bookmark,view,AI,R-18,date
0,96,604,False,False,2023-01-02
1,124,787,False,False,2023-01-02
2,117,597,False,False,2023-01-02
3,580,8169,False,False,2023-01-02
4,275,1196,False,False,2023-01-02
5,1117,11583,True,False,2023-01-02
6,102,629,False,False,2023-01-02
7,221,9859,True,False,2023-01-01
8,13,536,False,False,2023-01-01
9,14,404,False,False,2023-01-01
10,153,1792,True,False,2023-01-01
11,754,13827,False,False,2023-01-01
12,34,424,False,False,2023-01-01
13,37,517,False,False,2023-01-01
14,1440,19251,False,False,2023-01-01
15,465,4041,False,False,2023-01-01
16,757,3329,False,False,2023-01-01
17,21,510,False,False,2023-01-01
18,49,663,False,False,2023-01-01
19,64,875,False,False,2023-01-01
20,107,2858,False,False,2023-01-01
21,292,6148,False,False,2023-01-01
22,3272,67682,False,False,2023-01-01
23,130,645,False,False,2023-01-01
24,65,617,False,False,2023-01-01
25,41,506,False,False,2023-01-01
26,105,872,False,False,2022-12-31
27,366,1218,True,False,2022-12-31
28,97,458,False,False,2022-12-31
29,58,383,False,False,2022-12-31
30,893,6715,False,False,2022-12-31
31,21,308,False,False,2022-12-31
32,429,1996,False,False,2022-12-31
33,12,261,False,False,2022-12-31
34,73,641,False,False,2022-12-31
35,150,723,False,False,2022-12-31
